rating,gram_status,subject,item
6,1,A,OK_301
7,1,B,OK_301
7,1,C,OK_301
7,1,D,OK_301
6,1,E,OK_301
7,1,F,OK_301
7,1,G,OK_301
7,1,H,OK_301
7,1,I,OK_301
7,1,J,OK_301
6,1,K,OK_301
7,1,L,OK_301
6,1,M,OK_301
7,1,N,OK_301
7,1,O,OK_301
7,1,P,OK_301
7,1,Q,OK_301
7,1,R,OK_301
7,1,S,OK_301
7,1,T,OK_301
6,1,U,OK_301
7,1,V,OK_301
7,1,W,OK_301
7,1,X,OK_301
7,1,Y,OK_301
6,1,Z,OK_301
7,1,AA,OK_301
7,1,AB,OK_301
7,1,AC,OK_301
6,1,AD,OK_301
7,1,AE,OK_301
7,1,AF,OK_301
7,1,AG,OK_301
7,1,AH,OK_301
7,1,AI,OK_301
7,1,AJ,OK_301
7,1,AK,OK_301
7,1,AL,OK_301
7,1,AM,OK_301
7,1,AN,OK_301
7,1,AO,OK_301
7,1,AP,OK_301
7,1,AQ,OK_301
7,1,AR,OK_301
7,1,AS,OK_301
7,1,AT,OK_301
5,1,AU,OK_301
7,1,AV,OK_301
6,1,AW,OK_301
7,1,AX,OK_301
7,1,AY,OK_301
7,1,AZ,OK_301
5,1,BA,OK_301
7,1,BB,OK_301
6,1,BC,OK_301
5,1,BD,OK_301
7,1,BE,OK_301
6,1,BF,OK_301
7,1,BG,OK_301
5,1,BH,OK_301
3,1,BI,OK_301
7,1,BJ,OK_301
6,1,BK,OK_301
7,1,BL,OK_301
7,1,BM,OK_301
7,1,BN,OK_301
7,1,BO,OK_301
7,1,BP,OK_301
7,1,BQ,OK_301
7,1,BR,OK_301
7,1,BS,OK_301
7,1,BT,OK_301
7,1,BU,OK_301
7,1,BV,OK_301
7,1,BW,OK_301
7,1,BX,OK_301
5,1,BY,OK_301
7,1,BZ,OK_301
7,1,CA,OK_301
7,1,CB,OK_301
7,1,CC,OK_301
7,1,CD,OK_301
7,1,CE,OK_301
6,1,CF,OK_301
7,1,CG,OK_301
7,1,CH,OK_301
7,1,CI,OK_301
5,1,CJ,OK_301
5,1,CK,OK_301
7,1,CL,OK_301
7,1,CM,OK_301
7,1,CN,OK_301
7,1,CO,OK_301
7,1,CP,OK_301
7,1,CQ,OK_301
7,1,CR,OK_301
7,1,CS,OK_301
7,1,CT,OK_301
7,1,CU,OK_301
7,1,CV,OK_301
7,1,CW,OK_301
7,1,CX,OK_301
6,1,CY,OK_301
5,1,CZ,OK_301
7,1,DA,OK_301
7,1,DB,OK_301
6,1,DC,OK_301
7,1,DD,OK_301
7,1,DE,OK_301
7,1,DF,OK_301
5,1,DG,OK_301
