row_number,bad_onlinerating,good_onlinerating
1,1.3963963963964,
2,1.57657657657658,
3,1.8018018018018,
4,1.97297297297297,
5,1.99099099099099,
6,2.02702702702703,
7,2.24324324324324,
8,2.27027027027027,
9,2.35135135135135,
10,,2.5045045045045
11,2.62162162162162,
12,2.71171171171171,
13,2.77477477477477,
14,2.81081081081081,
15,2.90990990990991,
16,2.91891891891892,
17,,3.01801801801802
18,3.07207207207207,
19,3.08108108108108,
20,3.10810810810811,
21,3.10810810810811,
22,3.18018018018018,
23,3.23423423423423,
24,3.23423423423423,
25,3.25225225225225,
26,3.27927927927928,
27,,3.31531531531532
28,3.31531531531532,
29,,3.33333333333333
30,,3.38738738738739
31,3.48648648648649,
32,3.58558558558559,
33,3.66666666666667,
34,3.66666666666667,
35,3.69369369369369,
36,,3.8018018018018
37,3.83783783783784,
38,3.86486486486486,
39,3.88288288288288,
40,,3.92792792792793
41,3.93693693693694,
42,3.95495495495495,
43,3.95495495495495,
44,3.98198198198198,
45,4.08108108108108,
46,,4.17117117117117
47,4.18918918918919,
48,4.32432432432432,
49,4.33333333333333,
50,4.3963963963964,
51,4.44144144144144,
52,,4.5045045045045
53,4.52252252252252,
54,4.54054054054054,
55,4.54954954954955,
56,,4.56756756756757
57,,4.61261261261261
58,,4.64864864864865
59,,4.74774774774775
60,,4.96396396396396
61,5.01801801801802,
62,,5.03603603603604
63,,5.12612612612613
64,,5.17117117117117
65,,5.38738738738739
66,,5.41441441441441
67,,5.41441441441441
68,,5.42342342342342
69,,5.56756756756757
70,,5.63963963963964
71,,5.69369369369369
72,,5.71171171171171
73,,5.72972972972973
74,5.73873873873874,
75,,5.84684684684685
76,,5.89189189189189
77,,5.90990990990991
78,,5.97297297297297
79,,6.00900900900901
80,6.01801801801802,
81,,6.08108108108108
82,6.08108108108108,
83,,6.14414414414414
84,,6.15315315315315
85,,6.15315315315315
86,,6.16216216216216
87,,6.20720720720721
88,,6.27927927927928
89,,6.36036036036036
90,,6.47747747747748
91,,6.51351351351351
92,,6.54054054054054
93,,6.63063063063063
94,,6.66666666666667
95,,6.67567567567568
96,,6.78378378378378
97,,6.89189189189189
98,,6.89189189189189
99,,6.90990990990991
100,,6.91891891891892
